tag,citation,expmm,expyy,make,state,location,violCode,Description,violFine,violDate,balance,penaltyDate,openFine,openPenalty,noticeDate,ImportDate
2AF4646,97324065,02,13,PONI,MD,200 E BIDDLE ST,16,In Transit Zone/Stop,$77.00,07/04/2012 09:24:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
50383CD,97092480,10,12,MINI,MD,600 E RANDALL ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:23:00 PM,$0.00,,$0.00,$0.00,,07/12/2012 11:02:00 AM +0000
792M636,58065640,12,12,SATU,MD,NORTHERN PKWY WB @ YORK RD,31,Right on Red,$75.00,07/04/2012 09:21:00 PM,$75.00,,$0.00,$0.00,,07/17/2012 11:02:00 AM +0000
T485516T,97457667,08,12,INFI,MD,1000 LIGHT ST,16,In Transit Zone/Stop,$77.00,07/04/2012 09:20:00 PM,$77.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
1AR2320,97092472,03,14,TOYT,MD,600 E RANDALL ST,5,Obstruct/Impeding Movement of Pedestrian,$77.00,07/04/2012 09:20:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
7AB1641,58065483,09,12,CHRY,MD,NORTHERN WB @ GREENSPRING,30,Red Light Violation,$75.00,07/04/2012 09:19:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
FYS1805,97457659,04,14,HOND,NY,1000 LIGHT ST,16,In Transit Zone/Stop,$77.00,07/04/2012 09:19:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
BCHX84,97727598,12,12,BMW,FL,700 S BOND ST,11,Residential Parking Permit Only,$52.00,07/04/2012 09:17:00 PM,$0.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
CM4M480,97457642,02,13,MITS,TX,1000 LIGHT ST,16,In Transit Zone/Stop,$77.00,07/04/2012 09:17:00 PM,$77.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
9DDL40,97550669,07,13,FORD,MD,U/B W BARNEY ST,11,Residential Parking Permit Only,$52.00,07/04/2012 09:17:00 PM,$0.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
39327B,97324057,03,13,FORD,MD,400 E FAYETTE ST,8,No Stopping/Standing Tow Away Zone,$52.00,07/04/2012 09:16:00 PM,$52.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
JZA586,58065467,01,14,CHRY,MD,NORTHERN WB @ GREENSPRING,30,Red Light Violation,$75.00,07/04/2012 09:16:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
A209518,79586343,09,12,HOND,MD,1500 THAMES ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:15:00 PM,$32.00,,$32.00,$0.00,,08/09/2012 11:03:00 AM +0000
3AE2476,97092464,02,13,HOND,MD,1500 JACKSON ST,5,Obstruct/Impeding Movement of Pedestrian,$77.00,07/04/2012 09:15:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
3AJ8808,58065426,07,13,CHRY,MD,PULASKI HWY EB @ MONUMENT ST,30,Red Light Violation,$75.00,07/04/2012 09:14:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
9ELH37,97324040,04,14,MERC,MD,400 E FAYETTE ST,8,No Stopping/Standing Tow Away Zone,$52.00,07/04/2012 09:14:00 PM,$52.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
K26AVZ,97550651,,0,NISS,NJ,U/B W BARNEY ST,11,Residential Parking Permit Only,$52.00,07/04/2012 09:14:00 PM,$0.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
5AC4164,58065418,11,13,NISS,MD,GWYNNS FALLS EB @ GARRISON,30,Red Light Violation,$75.00,07/04/2012 09:13:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
718M289,97092456,02,14,FORD,MD,1500 JACKSON ST,17,Less Than 15 feet from Fire Hydrant,$77.00,07/04/2012 09:12:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
1AP6854,97457634,02,14,FORD,MD,400 E CROSS ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:11:00 PM,$32.00,,$32.00,$0.00,,07/12/2012 11:02:00 AM +0000
T483171T,97727580,08,12,CADI,MD,700 S WOLFE ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:11:00 PM,$0.00,,$32.00,$0.00,,07/12/2012 11:02:00 AM +0000
1AMC79,97092449,03,13,HOND,MD,1600 BELT ST,5,Obstruct/Impeding Movement of Pedestrian,$77.00,07/04/2012 09:08:00 PM,$0.00,,$77.00,$0.00,,07/12/2012 11:02:00 AM +0000
8AA3323,97727572,08,12,HOND,MD,700 S WOLFE ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:08:00 PM,$0.00,,$32.00,$0.00,,07/12/2012 11:02:00 AM +0000
16705CC,97550644,08,13,TOYT,MD,1700 S HANOVER ST,11,Residential Parking Permit Only,$52.00,07/04/2012 09:07:00 PM,$0.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
XCT842,97727564,08,12,CHEV,MD,800 S WOLFE ST,11,Residential Parking Permit Only,$52.00,07/04/2012 09:04:00 PM,$0.00,,$0.00,$0.00,,07/12/2012 11:02:00 AM +0000
2AR9473,97457626,03,14,VOLK,MD,1300 COVINGTON ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:03:00 PM,$0.00,,$32.00,$0.00,,07/12/2012 11:02:00 AM +0000
3AS5868,97457618,06,14,NISS,MD,1300 COVINGTON ST,12,No Stopping/Standing Not Tow-Away Zone,$32.00,07/04/2012 09:02:00 PM,$32.00,,$32.00,$0.00,,07/12/2012 11:02:00 AM +0000
4AP3499,97727556,02,13,DODG,MD,800 S WOLFE ST,11,Residential Parking Permit Only,$52.00,07/04/2012 09:02:00 PM,$0.00,,$52.00,$0.00,,07/12/2012 11:02:00 AM +0000
5DXC54,97092431,03,14,MAZD,MD,500 E RANDALL ST,5,Obstruct/Impeding Movement of Pedestrian,$77.00,07/04/2012 09:02:00 PM,$0.00,,$0.00,$0.00,,07/12/2012 11:02:00 AM +0000
